序號,建案名稱,鄉鎮市區,投資興建商,主要基地地號,使用分區,總戶數,基地最新成交日,基地成交筆數,基地平均單價(萬/坪),基地最低單價(萬/坪),基地最高單價(萬/坪),取得建照日,申報備查日,預售首筆成交日,預售最新成交日,預售已售戶數,銷售率(%),建案成交均價(萬/坪),建案最低單價(萬/坪),建案最高單價(萬/坪),建案平均總價(萬元),房地單價倍數比(倍),房地單價差額(萬/坪),購地至取得建照歷時(月),購地至首筆預售歷時(月),開案後銷售跨度(月),狀態,預估成交均價(萬/坪)
1,"綠之悅","三星鄉","乘悅建設股份有限公司","新大埔段289地號","特定農業區甲種建築用地",21,112/08/05,1,9.6,9.6,9.6,113/03/20,113/06/12,113/08/26,115/07/14,15,71.4,28,26.1,29.8,805.7,2.92,18.4,7.5,12.7,22.6,已開賣(有預售實登),
2,"原翠5","三星鄉","兆鋒建設有限公司","新日興段412地號","一般農業區甲種建築用地",23,111/04/19,2,8,7,9,113/07/30,113/09/23,114/01/22,115/05/03,11,47.8,28,26.4,31.3,1326.8,3.5,20,27.4,33.1,15.3,已開賣(有預售實登),
3,"園周綠第九期","三星鄉","森也建設有限公司","尾塹二段789地號","特定農業區甲種建築用地",18,111/07/30,1,11.5,11.5,11.5,112/08/31,112/10/30,112/11/29,113/08/02,18,100,26.9,23.1,29.6,1353.1,2.34,15.4,13,16,8.1,已開賣(有預售實登),
4,"舞氛美 獨棟別墅","三星鄉","大興發建設有限公司","頂義段410地號","特定農業區甲種建築用地",3,111/06/27,2,9.6,9.1,10,111/12/01,112/05/03,112/08/17,112/08/17,1,33.3,26.5,26.5,26.5,1920,2.76,16.9,5.2,13.7,0,已開賣(有預售實登),
5,"青庭river(透天區)","三星鄉","群祥建設有限公司","新日興段238-1地號","特定農業區甲種建築用地",8,112/04/05,1,14,14,14,112/09/11,112/10/04,112/11/22,113/04/27,8,100,26.3,25.7,28.5,1343,1.88,12.3,5.2,7.6,5.2,已開賣(有預售實登),
6,"青庭river(華廈區)","三星鄉","群祥建設有限公司","新日興段238地號","特定農業區甲種建築用地",54,112/04/05,1,14,14,14,112/11/14,112/11/16,112/12/02,115/03/15,52,96.3,25.5,24.1,26.8,733.5,1.82,11.5,7.3,7.9,27.4,已開賣(有預售實登),
7,"青豐","三星鄉","香城建設股份有限公司","大洲二段934地號","特定農業區甲種建築用地",53,113/04/08,1,9,9,9,114/09/18,114/11/10,115/01/03,115/07/19,44,83,25.4,23.8,29.2,843.2,2.82,16.4,17.3,20.9,6.5,已開賣(有預售實登),
8,"御東風","三星鄉","怡華實業股份有限公司","尾塹二段525地號","特定農業區甲種建築用地",31,110/04/23,1,8.7,8.7,8.7,111/04/11,112/09/19,112/11/30,113/07/05,18,58.1,25,22.6,27.1,1266.6,2.87,16.3,11.6,31.2,7.2,已開賣(有預售實登),
9,"宗硯大砌系列17","三星鄉","宗仁建設有限公司","大洲一段640地號","特定農業區甲種建築用地",14,110/06/16,1,6.7,6.7,6.7,111/12/13,112/05/13,112/09/30,113/08/09,14,100,24.8,22.9,29.7,1189.6,3.7,18.1,17.9,27.5,10.3,已開賣(有預售實登),
10,"謙藏3","三星鄉","美川開發有限公司","尾塹二段382地號","特定農業區甲種建築用地",24,113/07/29,2,15,15,15,115/03/24,115/05/04,115/06/04,115/07/25,17,71,24.4,22.1,26.4,434.3,1.63,9.4,19.8,22.2,1.7,已開賣(有預售實登),
11,"市星吉苑","三星鄉","沐水建設有限公司","義德段723地號","農業區",2,111/05/16,1,9,9,9,112/05/23,113/04/23,113/08/15,113/08/15,1,50,24.1,24.1,24.1,1300,2.68,15.1,12.2,27,0,已開賣(有預售實登),
